LastName	FirstName	DatasetID	Dataset	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	TaxonID	FamilyName	FamiliyTaxonID	Latitude	Longitude
Roscher	Christiane	589	Jena Experiment Traits	Leontodon hispidus	6091662	59505961	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	1937	Plant height (unspecified if vegetative or reproductive)	Shoot.Height	23	cm	Single				0.23	m		59505762.0	0.661417	Gubsch M, Buchmann N, Schmid B, Schulze E-D, Lipowsky A, Roscher C (2011) Differential effects of plant diversity on functional trait variation of grass species. Annals of Botany 107, 157-169.			B3VY2	Asteraceae	622TP	50.95	11.625
Schweingruber	Fritz	251	The Xylem/Phloem Database	Ruta graveolens	1797347	13590960	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	1937	Plant height (unspecified if vegetative or reproductive)	plant height	80	cm	Single				0.8	m			1.38415	Schweingruber, F.H., Landolt, W.: The Xylem Database. Swiss Federal Research Institute WSL Updated (2005)			4TT2S	Rutaceae	626WT	52.0	7.0
Bruelheide	Helge	428	Trait and biomass data 2014 and 2015 of the BE_LOW project	Galium verum	2950667	27087409	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	504	Plant height vegetative	Plant height	20	mm	Single				0.02	m			2.96671	Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Drivers of intraspecific trait variation of grass and forb species in German meadows and pastures.   Journal of Vegetation Science 28: 705 716. Doi: 10.1111/jvs.12534. Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Predicting individual plant performance in grasslands.   Ecology and Evolution 7: 8958 8965. DOI: 10.1002/ece3.3393	Plant height, measured from ground to tip		3F6PX	Rubiaceae	6278P	48.38	9.41
Bruelheide	Helge	428	Trait and biomass data 2014 and 2015 of the BE_LOW project	Alopecurus pratensis	2950084	27066179	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	4142	Vegetative plant height elongated	Plant height	100	mm	Single				0.1	m			1.72458	Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Drivers of intraspecific trait variation of grass and forb species in German meadows and pastures.   Journal of Vegetation Science 28: 705 716. Doi: 10.1111/jvs.12534. Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Predicting individual plant performance in grasslands.   Ecology and Evolution 7: 8958 8965. DOI: 10.1002/ece3.3393	Plant height, measured from base of the plant to the tip, straightening the plant		C56N	Poaceae	627FW	48.41	9.44
Roscher	Christiane	589	Jena Experiment Traits	Alopecurus pratensis	6086204	59411683	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	1937	Plant height (unspecified if vegetative or reproductive)	Shoot.Height	30	cm	Single				0.3	m		59411427.0	1.19592	Gubsch M, Buchmann N, Schmid B, Schulze E-D, Lipowsky A, Roscher C (2011) Differential effects of plant diversity on functional trait variation of grass species. Annals of Botany 107, 157-169.			C56N	Poaceae	627FW	50.95	11.625
Roscher	Christiane	589	Jena Experiment Traits	Holcus lanatus	6087372	59431472	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	1937	Plant height (unspecified if vegetative or reproductive)	Shoot.Height	70	cm	Single				0.7	m			1.05121	Gubsch M, Buchmann N, Schmid B, Schulze E-D, Lipowsky A, Roscher C (2011) Differential effects of plant diversity on functional trait variation of grass species. Annals of Botany 107, 157-169.			3M7ZD	Poaceae	627FW	50.95	11.625
Reichenau	Tim	760	Vegetation states from intensively monitored crop sites in western Germany	Brassica napus	6429026	63331583	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	448	Plant height observed	canopy_height	28	cm	Single				0.28	m			2.27336	Reichenau, T. G., Korres, W., Schmidt, M., Graf, A., Welp, G., Meyer, N., Stadler, A., Brogi, C., Schneider, K. (2020) A comprehensive dataset of vegetation states, fluxes of matter and energy, weather, agricultural management, and soil properties from intensively monitored crop sites in western Germany. Earth System Sciences Data, 12, doi:10.5194/essd-12-2333-2020	Height of the canopy		N82B	Brassicaceae	7DN	50.871896	6.450579
Bruelheide	Helge	428	Trait and biomass data 2014 and 2015 of the BE_LOW project	Achillea millefolium	2950445	27079591	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	504	Plant height vegetative	Plant height	170	mm	Single				0.17	m			1.73033	Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Drivers of intraspecific trait variation of grass and forb species in German meadows and pastures.   Journal of Vegetation Science 28: 705 716. Doi: 10.1111/jvs.12534. Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Predicting individual plant performance in grasslands.   Ecology and Evolution 7: 8958 8965. DOI: 10.1002/ece3.3393	Plant height, measured from ground to tip		97H4			53.08	13.96
Bruelheide	Helge	428	Trait and biomass data 2014 and 2015 of the BE_LOW project	Achillea millefolium	2950515	27082114	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	4142	Vegetative plant height elongated	Plant height	130	mm	Single				0.13	m			0.833346	Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Drivers of intraspecific trait variation of grass and forb species in German meadows and pastures.   Journal of Vegetation Science 28: 705 716. Doi: 10.1111/jvs.12534. Herz, K., Dietz, S., Haider, S., Jandt, U., Scheel, D. & Bruelheide, H. (2017): Predicting individual plant performance in grasslands.   Ecology and Evolution 7: 8958 8965. DOI: 10.1002/ece3.3393	Plant height, measured from base of the plant to the tip, straightening the plant		97H4			53.15	13.83
Roscher	Christiane	589	Jena Experiment Traits	Ranunculus repens	6092702	59522462	http://top-thesaurus.org/trait#TOP69	Plant height vegetative	1937	Plant height (unspecified if vegetative or reproductive)	Shoot.Height	5	cm	Single				0.05	m		59522120.0	1.98408	Gubsch M, Buchmann N, Schmid B, Schulze E-D, Lipowsky A, Roscher C (2011) Differential effects of plant diversity on functional trait variation of grass species. Annals of Botany 107, 157-169.			4RHKY	Ranunculaceae	FJR	50.95	11.625
